Height,Ice Cream,Pet,#of letters,Favorite TA,Minutes to Hometown
67,Chocolate,Dog,16,Ryan,55
63,Cookie Dough,none,15,Mimi,180
75,Vanilla,Dog,20,Peter,150
66,Moose Tracks,Dog,16,Erik,300
72,Vanilla,Dog,17,Ryan,60
66,Moose Tracks,Dog,14,Emily,85
72,Chocolate,none,21,Josh,70
72,Mint Chip,Cat,9,Abe,70
71,Vanilla,Dog,20,Brian,90
75,Vanilla,Dog,5,none,105
68,Strawberry,Horse,19,Emily,120
59,Chocolate,Dog,13,Cezanne,45
73,Vanilla,Dog,14,Monica,155
64,Chocolate,none,16,Sarah,120
67,Mint Chip,Dog,21,Kelly,180
67,Mint Chip,Dog,20,Ryan,90
68,Cookies & Cream,Dog,13,Toner,180
65,Chocolate,Dog,20,none,60
75,Chocolate,Dog,9,Chris,120
67,Cookie Dough,none,10,Katie,75
67,Vanilla,Dog,24,Carlos,120
75,Mint Chip,Dog,17,Tim,180
64,Vanilla,Dog,15,Xavier,135
74,Cookies & Cream,Horse,18,Jeff,180
